Complaint,OffenseDescription,Description,Attempted,CategoryCode,Borough,Location,PremiseType
123456789,CRIMES OF PASSION,BROKEN HEART,COMPLETED,MISDEMEANOR,OREM,FRONT OF,RESIDENCE-HOUSE
886582913,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
943328243,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
341248014,FRAUDS,FRAUD UNCLASSIFIED-MISDEMEANOR,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
870475298,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
786875087,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,STREET
739715284,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
266492298,HARRASSMENT 2,HARASSMENT SUBD 1 CIVILIAN,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,OTHER
668900991,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,CHAIN STORE
851953821,CRIMINAL TRESPASS,TRESPASS 2  CRIMINAL,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
454247838,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESTAURANT/DINER
930250505,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
159308130,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
299065472,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
814110689,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
741667576,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
360294329,BURGLARY,BURGLARY COMMERCIAL DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,VARIETY STORE
708426099,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,OTHER
791508782,DANGEROUS DRUGS,MARIJUANA  POSSESSION 4 & 5,COMPLETED,MISDEMEANOR,STATEN ISLAND,OPPOSITE OF,GAS STATION
784853563,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,DOCTOR/DENTIST OFFICE
752272352,BURGLARY,BURGLARY RESIDENCE DAY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
595822654,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
231021221,GRAND LARCENY,LARCENY GRAND BY OPEN/COMPROMISE CELL PHONE ACCT,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
539906708,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MISCHIEF UNCLASSIFIED 4,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
436537842,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
437129348,THEFT-FRAUD,FRAUD UNCLASSIFIED-FELONY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
316668378,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,,STREET
283828013,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
672026399,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
359161279,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
642268009,PETIT LARCENY,LARCENY PETIT FROM BUILDING UN,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
433700416,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
651154739,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
552505809,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
130249773,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
987106921,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
489675122,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
134107093,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
189795981,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,PUBLIC SCHOOL
478192487,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,,BUS (NYC TRANSIT)
952381566,PETIT LARCENY,LARCENY PETIT FROM OPEN AREAS ,COMPLETED,MISDEMEANOR,STATEN ISLAND,,BUS (NYC TRANSIT)
591362750,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
702454807,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,FOOD SUPERMARKET
325658450,PETIT LARCENY,LARCENY PETIT FROM STORE-SHOPL,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,FOOD SUPERMARKET
338671368,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
300729216,ASSAULT 3 & RELATED OFFENSES,MENACING UNCLASSIFIED,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET
973969238,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
569717685,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
915806016,INTOXICATED & IMPAIRED DRIVING,INTOXICATED DRIVING ALCOHOL,COMPLETED,MISDEMEANOR,STATEN ISLAND,,STREET
748794045,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE
507386799,HARRASSMENT 2,HARASSMENT SUBD 3 4 5,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE
840432908,FELONY ASSAULT,ASSAULT 2 1 UNCLASSIFIED,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE
