LastName,FirstName,Age,Class,PassengerOrCrew,Role,Survivor
ABBING,Mr Anthony,41,3rd Class,Passenger,,false
ABBOTT,Mr Ernest Owen,21,Victualling,Crew,,false
ABBOTT,Mr Eugene Joseph,13,3rd Class,Passenger,,false
ABBOTT,Mr Rossmore Edward,16,3rd Class,Passenger,,false
ABBOTT,Mrs Rhoda Mary 'Rosa',39,3rd Class,Passenger,,true
ABELSETH,Miss Kalle (Karen) Marie Kristiane,16,3rd Class,Passenger,,true
ABELSETH,Mr Olaus Jørgensen,25,3rd Class,Passenger,,true
ABELSON,Mr Samuel,30,2nd Class,Passenger,,false
ABELSON,Mrs Anna,28,2nd Class,Passenger,,true
ABĪ SA'B,Mr Jirjis Yūsuf,45,3rd Class,Passenger,,false
ABĪ SA'B,Mrs Sha'nīnah,38,3rd Class,Passenger,,true
ABĪ SHADĪD,Mr Dāhir,19,3rd Class,Passenger,,false
ABĪ-AL-MUNÀ,Mr Nāsīf Qāsim,27,3rd Class,Passenger,,true
ABRAHAMSSON,Mr August Abraham Johannes,19,3rd Class,Passenger,,true
ABRAMS,Mr William Thomas,34,Engineering,Crew,,false
ÅDAHL,Mr Mauritz,30,3rd Class,Passenger,,false
ADAMS,Mr John,26,3rd Class,Passenger,,false
ADAMS,Mr Robert John,26,Engineering,Crew,,false
AHIER,Mr Percy Snowden,20,Victualling,Crew,,false
AHLIN,Mrs Johanna Persdotter,40,3rd Class,Passenger,,false
AHMED,Mr Ali,24,3rd Class,Passenger,,false
ÄIJÖ-NIRVA,Mr Isakki Antonpoika,41,3rd Class,Passenger,,false
AKERMAN,Mr Albert Edward,31,Victualling,Crew,,false
AKERMAN,Mr Joseph Francis,37,Victualling,Crew,,false
AKS,Master Philip,0.83,3rd Class,Passenger,,true
AKS,Mrs Leah,21,3rd Class,Passenger,,true
AL-BA'QLĪNĪ,Miss Hilānah,2,3rd Class,Passenger,,true
AL-BA'QLĪNĪ,Miss Mārīyā,5,3rd Class,Passenger,,true
AL-BA'QLĪNĪ,Miss Ūwjīnīyā,3,3rd Class,Passenger,,true
AL-BA'QLĪNĪ,Mrs Laṭīfah,23,3rd Class,Passenger,,true
AL-MUNÀ,Mr Farīd Husayn Qāsim,19,3rd Class,Passenger,,false
AL-ZA'INNĪ,Mr Fahīm Rūḥānā,25,3rd Class,Passenger,,true
ALDWORTH,Mr Augustus Henry,35,2nd Class,Passenger,Servant,false
ALEXANDER,Mr William Albert,24,3rd Class,Passenger,,false
ALHOMÄKI,Mr Ilmari Rudolf,19,3rd Class,Passenger,,false
ALI,Mr William,25,3rd Class,Passenger,,false
ALLARIA,Sig. Battista Antonio,22,Restaurant Staff,Crew,,false
ALLEN,Miss Elisabeth Walton,29,1st Class,Passenger,,true
ALLEN,Mr Ernest Frederick,24,Engineering,Crew,,true
ALLEN,Mr George,26,Victualling,Crew,,false
ALLEN,Mr Henry,30,Engineering,Crew,,false
ALLEN,Mr Robert Spencer,35,Victualling,Crew,,false
ALLEN,Mr William Henry,39,3rd Class,Passenger,,false
ALLISON,Master Hudson Trevor,0.92,1st Class,Passenger,,true
ALLISON,Miss Helen Loraine,2,1st Class,Passenger,,false
ALLISON,Mr Hudson Joshua Creighton,30,1st Class,Passenger,,false
ALLISON,Mrs Bess Waldo,25,1st Class,Passenger,,false
ALLSOP,Mr Alfred Samuel,36,Engineering,Crew,,false
ALLSOP,Mr Frank Richard,43,Victualling,Crew,,false
ALLUM,Mr Owen George,17,3rd Class,Passenger,,false
ANDERSEN-JENSEN,Miss Carla Christine Nielsine,19,3rd Class,Passenger,,true
ANDERSEN,Mr Albert Kaurin,33,3rd Class,Passenger,,false
ANDERSON,Mr Henry,42,1st Class,Passenger,,true
ANDERSON,Mr John,42,Deck,Crew,,true
ANDERSON,Mr Walter Yuill,50,Victualling,Crew,,false
ANDERSSON,Master Sigvard Harald Elias,4,3rd Class,Passenger,,false
ANDERSSON,Miss Ebba Iris Alfrida,6,3rd Class,Passenger,,false
ANDERSSON,Miss Ellis Anna Maria,2,3rd Class,Passenger,,false
ANDERSSON,Miss Erna Alexandra,16,3rd Class,Passenger,,true
ANDERSSON,Miss Ida Augusta Margareta,38,3rd Class,Passenger,,false
ANDERSSON,Miss Ingeborg Constanzia,9,3rd Class,Passenger,,false
ANDERSSON,Miss Sigrid Elisabeth,11,3rd Class,Passenger,,false
ANDERSSON,Mr Anders Johan,39,3rd Class,Passenger,,false
ANDERSSON,Mr Johan Samuel,26,3rd Class,Passenger,,false
ANDERSSON,Mrs Alfrida Konstantia Brogren,39,3rd Class,Passenger,,false
ANDREASSON,Mr Pål Edvin,20,3rd Class,Passenger,,false
ANDREW,Mr Edgar Samuel,17,2nd Class,Passenger,,false
ANDREW,Mr Frank Thomas,26,2nd Class,Passenger,,false
ANDREWS,Miss Cornelia Theodosia,62,1st Class,Passenger,,true
ANDREWS,Mr Archibald,38,Engineering,Crew,(Delivery trip only),false
ANDREWS,Mr Charles Edward,19,Victualling,Crew,,true
ANDREWS,Mr Thomas,39,1st Class,Passenger,H&W Guarantee Group,false
ANGLE,Mr William,31,2nd Class,Passenger,,false
ANGLE,Mrs Florence Agnes,36,2nd Class,Passenger,,true
APPLETON,Mrs Charlotte,53,1st Class,Passenger,,true
ARCHER,Mr Ernest Edward,35,Deck,Crew,,true
ARMSTRONG,Mr James,31,Engineering,Crew,(Delivery trip only),false
ARNOLD-FRANCHI,Mr Josef,25,3rd Class,Passenger,,false
ARNOLD-FRANCHI,Mrs Josefine,18,3rd Class,Passenger,,false
ARONSSON,Mr Ernst Axel Algot,25,3rd Class,Passenger,,false
ARTAGAVEYTIA,Mr Ramon,71,1st Class,Passenger,,false
ASHBY,Mr John,57,2nd Class,Passenger,,false
ASHCROFT,Mr Austin Aloysius,26,Victualling,Crew,,false
ASHE,Mr Henry Wellesley,41,Victualling,Crew,,false
ASIM,Mr Adola,35,3rd Class,Passenger,,false
ASPESLAGH,Mr Georges,26,Restaurant Staff,Crew,,false
